<0.8214982110912494, 1000, lru, 10, uniform>
<1.333439201451925, 1000, lru, 20, uniform>
<2.8833538777606553, 1000, lru, 50, uniform>
<1.3788893884891655, 1000, lru, 100, uniform>
<1.5345750000000196, 1000, lru, 200, uniform>
<1.5123671497584743, 1000, none, 10, uniform>
<1.4681390134529362, 1000, fifo, 10, uniform>
<1.3661640670132795, 1000, fifo, 20, uniform>
<1.6051056910569272, 1000, fifo, 50, uniform>
<2.947681347150254, 1000, fifo, 100, uniform>
<1.1989528301886987, 1000, fifo, 200, uniform>
<1.0798992576882454, 1000, mru, 10, uniform>
<3.4390631364562085, 1000, mru, 20, uniform>
<1.1680095834868747, 1000, mru, 50, uniform>
<1.4010933940774692, 1000, mru, 100, uniform>
<1.5124402250351734, 1000, mru, 200, uniform>
<1.6236611195158956, 1000, lfu, 10, uniform>
<1.4073178061608012, 1000, lfu, 20, uniform>
<1.4539967767929303, 1000, lfu, 50, uniform>
<1.6157236842105307, 1000, lfu, 100, uniform>
<1.3781167763158106, 1000, lfu, 200, uniform>
<1.4261839080459568, 1000, lifo, 10, uniform>
<1.3640758676352096, 1000, lifo, 20, uniform>
<2.4431206380857335, 1000, lifo, 50, uniform>
<0.9360473588342602, 1000, lifo, 100, uniform>
<2.6393417159763217, 1000, lifo, 200, uniform>
<1.2971540785498608, 1000, lru, 10, zipf(1.2)>
<1.3936774628880102, 1000, lru, 20, zipf(1.2)>
<1.5734367541766332, 1000, lru, 50, zipf(1.2)>
<1.5568474842767515, 1000, lru, 100, zipf(1.2)>
<1.4609764603313193, 1000, lru, 200, zipf(1.2)>
<1.1334584013050735, 1000, none, 10, zipf(1.2)>
<1.4687347931873684, 1000, fifo, 10, zipf(1.2)>
<1.6565260545905924, 1000, fifo, 20, zipf(1.2)>
<1.2852318958503037, 1000, fifo, 50, zipf(1.2)>
<3.684330749353999, 1000, fifo, 100, zipf(1.2)>
<3.08593807763401, 1000, fifo, 200, zipf(1.2)>
<1.474825018615063, 1000, mru, 10, zipf(1.2)>
<0.8049749538623577, 1000, mru, 20, zipf(1.2)>
<1.4495131086142552, 1000, mru, 50, zipf(1.2)>
<1.4608351810791047, 1000, mru, 100, zipf(1.2)>
<1.4989983443708839, 1000, mru, 200, zipf(1.2)>
<1.5807137375287994, 1000, lfu, 10, zipf(1.2)>
<1.4581583333333543, 1000, lfu, 20, zipf(1.2)>
<1.06718506998443, 1000, lfu, 50, zipf(1.2)>
<1.5193755068937775, 1000, lfu, 100, zipf(1.2)>
<1.417307032590073, 1000, lfu, 200, zipf(1.2)>
<1.5581033153431227, 1000, lifo, 10, zipf(1.2)>
<1.195653846153867, 1000, lifo, 20, zipf(1.2)>
<1.5721146085553086, 1000, lifo, 50, zipf(1.2)>
<1.5944558359621672, 1000, lifo, 100, zipf(1.2)>
<2.444686254980075, 1000, lifo, 200, zipf(1.2)>
